title,original_title,artist,guest_artists,circle,price,franchise,url
DF,,saitom,,猫マル商店,"¥1,150",Original,https://nekomarusyouten.booth.pm/items/2686584
annus,,生倉のゑる,,生のりのつくだに,"¥1,100",Idolm@ster,https://www.melonbooks.co.jp/detail/detail.php?product_id=1157520
ARMA,,ゆきさめ,,醒,¥785,Original,https://www.melonbooks.co.jp/detail/detail.php?product_id=608403
ステッカー①,,hamafugu,,,¥320,Original,https://booth.pm/en/items/4298047
ステッカー ②,,hamafugu,,,¥320,Original,https://booth.pm/en/items/4298238
KG-2000,,komugiko2000,,,"¥2,980",Original,https://booth.pm/en/items/3524458
光,,hirono,,,¥800,Original,https://hironoshosei.booth.pm/items/852134
AIK4TSU! 2015—2020,,Moving2,,,"¥2,000",Aikatsu,https://booth.pm/en/items/2535489
citron,,ゆーきん,,,"¥1,500",Original,https://rururoru.booth.pm/items/3902152
イラスト本,,ポム,,,"¥1,000",Original,https://pombo0th-shop.booth.pm/items/3130834
休日おバイク絵日記,,fumiko,,,¥600,Original,https://156m.booth.pm/items/3296707
2020.11,,myusa-e,,,¥600,Original,https://myusa-e.booth.pm/items/2531724
A-Z:Designworks,,neco,,,"¥1,210",Original,https://necopaint.booth.pm/items/1666605
とこなつ,,サコ,,,¥700,Original,https://35s00.booth.pm/items/1513434
ワンピースとパジャマ,,サコ,,,"¥1,000",Original,https://35s00.booth.pm/items/1356071
じゆうちょう２,,サコ,,,"¥1,000",Original,https://35s00.booth.pm/items/1133224
衣食住,,サコ,,,"¥1,000",Original,https://35s00.booth.pm/items/1740087
圖,,赤井製作所,,,¥850,Original,https://akaissm.booth.pm/items/2553217
BLUE,,mol,,,"¥1,000",Original,https://888mol888.booth.pm/items/2529823
虫の域,,mol,,,¥400,Original,https://888mol888.booth.pm/items/2529847
トリケラトップス！！,,mol,,,"¥1,000",Original,https://888mol888.booth.pm/items/2529816
